상품명,종류,가격(원),칼로리(kcal),탄수화물(g),단백질(g),지방(g)
gs25) 참치마요 김밥,기타,2200,352,51,10,12
오뚜기) 톡톡김치알밥,기타,4800,355,61,7,9
gs25) B.E.L.T 샌드위치,기타,2800,357,32,10,21
gs25) 아삭햄 치즈 샌드위치,기타,2500,359,36,14,18
gs25) 킬바사 핫도그,단백질,2200,360,49,9,14
공화춘) 짬뽕국밥,기타,4500,360,67,9,6
햇반) 불닭소스치킨덮밥,기타,4800,360,66,14,4.6
gs25) 뭉게뭉게란,단백질,3000,370,20,10,28
오뚜기) 옛날 구수한 누룽지,기타,2200,370,85,8,0
햇반) BIG 스팸김치덮밥,기타,5400,375,62,9,10
삼립) 페스츄리 핸디피자 후랑크 소시지,기타,2500,379,31,12,23
삼립) 베이컨치즈에그 샌드위치,기타,2300,380,36,14,20
gs25) 햄에그 & 토마토 샌드위치,기타,2800,385,40,16,18
오뚜기) 매콤낙지 덮밥,기타,4800,385,67,9,9
오뚜기) 참기름 김치볶음밥,기타,4800,385,62,7,12
햇반) 불닭소스스팸덮밥,기타,4800,395,65,11,10
스윗밸런스) 치폴레 치킨 샐러드,샐러드,5600,400,6.34,7.29,6.55
오뚜기) LA갈비 덮밥,기타,4800,400,67,15,8
햇반) 불닭마요덮밥,기타,4800,400,65,10,11
햇반) 참치마요덮밥,기타,4800,400,56,13,14
브레디크) 브라우니 와플,기타,1600,405,48,6,21
오뚜기) 옛날 쌀떡국,기타,3500,405,85,9,3.3
풀무원) 까르보나라 파스타,기타,3700,410,39,12,24
오뚜기) 카레컵밥,기타,4800,420,61,12,14
오뚜기) 카레컵밥,기타,4800,420,61,12,14
오뚜기) 김치참치덮밥,기타,4800,425,69,13,11
햇반) BIG 치킨마요덮밥,기타,5400,425,61,14,14
스윗밸런스) 훈제 닭가슴살 샐러드 랩,기타,4500,435,61,15,15
쉐프엔) 투움바파스타,기타,3700,440,45,13,23
gs25) 내슈빌핫치킨 샌드위치,기타,3400,445,40,15,25
gs25) 짱구 카레대왕,기타,4900,445,97,7,3.2
gs25) 더블에그샐러드 샌드위치,기타,2300,446,52,10,22
햇반) BIG 김치삼겹덮밥,기타,5400,455,79,15,9
오뚜기) 참치마요 덮밥,기타,4800,460,64,11,18
gs25) 햄치즈 & 크랩 샌드위치,기타,2600,494,53,12,26
햇반) BIG 간장삼겹덮밥,기타,5400,495,89,14,9
gs25) 을지로 라면볶음밥 매운맛,기타,3500,500,76,10,17
비비고) 누릉지 닭다리 삼계탕,기타,12900,500,19,56,22
gs25) 통다리살치킨버거,기타,3900,502,61,15,22
gs25) 스크램블 & 소시지 샌드위치,기타,2300,518,43,10,34
오뚜기) 짜장컵밥,기타,4800,530,56,13,28
쿠켓) 누룽지 돼지짜글이 ,기타,6900,530,91,31,4.4
gs25) 을지로 라면볶음밥 짜장맛,기타,3500,550,85,12,18
햇반) BIG 치즈닭갈비 덮밥,기타,5400,581,90,22,15
gs25) 정성가득 비빔밥,기타,4300,590,115,14,8
gs25) 돈값하는 도시락 연탄향불고기 정식,기타,4800,591,59,19,31
gs25) 돈값하는 도시락 너비아니 & 제육,기타,5000,627,85,29,19
공화춘) 짜장컵밥,기타,4800,702,91,22,28
